
JD-2 400 000,	RV,	e_RV,	Instrument
53720.804034,	-4060.69,	2.91,	CORALIE98
53778.680612,	-4061.51,	2.56,	CORALIE98
53803.605854,	-4063.90,	2.76,	CORALIE98
54498.738216,	-4115.92,	5.18,	CORALIE07
54778.828477,	-4149.64,	6.10,	CORALIE07
54811.805888,	-4138.88,	5.41,	CORALIE07
54889.595806,	-4118.86,	4.85,	CORALIE07
54894.556246,	-4113.83,	3.58,	CORALIE07
55302.504568,	-4154.21,	4.40,	CORALIE07
55303.624298,	-4177.41,	4.61,	CORALIE07
55579.781780,	-4083.50,	3.20,	CORALIE07
55673.598495,	-4059.93,	4.68,	CORALIE07
56292.793971,	-4039.50,	6.72,	CORALIE07
56993.853501,	-4092.41,	4.82,	CORALIE14
57147.557314,	-4115.81,	3.22,	CORALIE14
57369.806710,	-4073.18,	2.93,	CORALIE14
57414.644584,	-4081.40,	5.05,	CORALIE14
57496.490076,	-4079.47,	3.37,	CORALIE14
57683.819281,	-4148.65,	5.41,	CORALIE14
57732.846915,	-4160.13,	3.66,	CORALIE14
57808.614926,	-4154.18,	4.96,	CORALIE14
57887.545841,	-4149.76,	4.23,	CORALIE14
58003.902541,	-4086.34,	6.80,	CORALIE14
58034.854274,	-4059.25,	6.03,	CORALIE14
58068.819513,	-4036.22,	3.90,	CORALIE14
58071.860251,	-4038.67,	3.90,	CORALIE14
58121.684266,	-4035.53,	4.36,	CORALIE14
58125.767030,	-4042.36,	3.95,	CORALIE14
58129.671706,	-4045.81,	4.37,	CORALIE14
58173.764097,	-4041.42,	4.82,	CORALIE14
58220.512518,	-4054.95,	4.19,	CORALIE14
58366.910528,	-4120.28,	7.19,	CORALIE14
58406.853503,	-4151.65,	4.67,	CORALIE14
58459.644905,	-4155.20,	3.85,	CORALIE14
58527.581933,	-4128.58,	3.14,	CORALIE14
58573.499140,	-4153.03,	6.36,	CORALIE14
